Name,student_id,gender,program,gpa,previous_results,course_information,module_credits,ca_weight,final_exam_weight,ca_marks,final_exam_marks,total_marks,final_grade,lecture_attendance,attendance_percentage,assignment_marks,exam_results,quiz_scores,submission_status,login_frequency,time_spent_lms,resources_accessed,forum_chat_activity,course_start_date,click_count,assessment_date,assessment_type,assessment_score,assessment_max_score,Predicted_Risk_Level,Learning_Style,assignment_due_date,assignment_submission_date,sessions_attended,total_sessions_held,click_timestamp,module_id,pass_fail_status,assignment_max_marks,Non_Engaged_Modules
Uthpala Wijesuriya,ST1351,Female,ITM,2.58,Average,Software Engineering,3,30,70,9.0,44.8,53.8,C+,9,31.4,9.0,64.0,52,Late,15,100,31,7,6/04/2025 0:00,245,4/06/2025 0:00,Quiz,22,100,Medium Risk,Highly Engaged,3/06/2025 0:00,6/06/2025 0:00,27,30,4/06/2025 13:21,MOD-IN2201,Pass,30,Software Engineering Methods
Nimal Silva,ST1352,Male,ITM,3.34,Good,Software Engineering,3,30,70,21.3,20.8,42.1,F,23,77.6,21.3,29.7,44,On-time,16,80,41,13,5/03/2025 0:00,231,17/04/2025 0:00,Assignment,71,100,Medium Risk,Highly Engaged,12/03/2025 0:00,12/03/2025 0:00,17,26,17/04/2025 16:56,MOD-IN2201,Fail,30,UI/UX Design
Chamari Silva,ST1353,Female,ITM,2.62,Good,Software Engineering,3,30,70,15.8,35.6,51.4,C+,24,78.9,15.8,50.9,42,Late,22,61,36,6,15/04/2025 0:00,117,10/07/2025 0:00,Assignment,5,20,Medium Risk,Moderate Learner,27/06/2025 0:00,24/06/2025 0:00,5,27,10/07/2025 9:50,MOD-IN2201,Pass,30,"Software Development Models, Agile & Scrum"
Tharaka Weerasinghe,ST1354,Male,IT,2.22,Average,Software Engineering,3,30,70,14.1,18.5,32.6,F,26,86.4,14.1,26.5,64,On-time,21,50,27,14,6/02/2025 0:00,283,26/04/2025 0:00,Presentation,94,100,Medium Risk,Highly Engaged,26/03/2025 0:00,31/03/2025 0:00,12,26,26/04/2025 14:10,MOD-IN2201,Fail,30,Agile & Scrum
Tilan Sivarajah,ST1355,Male,ITM,3.78,Average,Software Engineering,3,30,70,22.4,55.9,78.3,A,27,89.5,22.4,79.9,82,On-time,14,71,28,0,5/03/2025 0:00,340,17/04/2025 0:00,Final Exam,9,30,Low Risk,Moderate Learner,14/03/2025 0:00,16/03/2025 0:00,23,27,17/04/2025 9:56,MOD-IN2201,Pass,30,General
Malini Jeyarajah,ST1356,Female,ITM,3.96,Weak,Software Engineering,3,30,70,20.8,42.7,63.5,B,29,96.0,20.8,61.0,47,On-time,11,20,19,15,27/02/2025 0:00,48,8/04/2025 0:00,Assignment,27,30,Low Risk,Passive Learner,30/04/2025 0:00,4/05/2025 0:00,13,27,8/04/2025 22:10,MOD-IN2201,Pass,30,"Requirements Engineering, UI/UX Design"
Imasha Karunathilake,ST1357,Female,ITM,1.86,Good,Software Engineering,3,30,70,29.3,44.7,74.0,A-,17,56.2,29.3,63.8,28,On-time,12,80,28,4,5/03/2025 0:00,486,2/06/2025 0:00,Final Exam,57,100,Medium Risk,Moderate Learner,22/04/2025 0:00,23/04/2025 0:00,26,27,2/06/2025 14:21,MOD-IN2201,Pass,30,Software Testing
Visal Wickramasinghe,ST1358,Male,ITM,2.99,Good,Software Engineering,3,30,70,25.3,55.2,80.5,A,28,92.2,25.3,78.9,39,On-time,23,50,25,3,27/02/2025 0:00,51,6/06/2025 0:00,Assignment,15,20,Low Risk,Moderate Learner,13/03/2025 0:00,13/03/2025 0:00,23,25,6/06/2025 9:55,MOD-IN2201,Pass,30,Requirements Engineering
Niroshan Edirisinghe,ST1359,Male,ITM,3.9,Excellent,Software Engineering,3,30,70,27.8,62.2,90.0,A+,14,46.1,27.8,88.9,49,On-time,21,25,31,4,15/01/2025 0:00,142,21/01/2025 0:00,Final Exam,20,30,Low Risk,Passive Learner,5/03/2025 0:00,5/03/2025 0:00,26,26,21/01/2025 19:05,MOD-IN2201,Pass,30,Agile & Scrum
Udani Bandara,ST1360,Female,ITM,2.81,Good,Software Engineering,3,30,70,29.2,23.7,52.9,C+,26,88.0,29.2,33.9,95,On-time,7,74,21,2,6/04/2025 0:00,130,29/04/2025 0:00,Midterm,10,30,Medium Risk,Passive Learner,19/04/2025 0:00,19/04/2025 0:00,16,30,29/04/2025 21:20,MOD-IN2201,Pass,30,"Managing Software Projects, Software Maintenance & Evolution"
Udani Kumara,ST1361,Female,ITM,2.89,Average,Software Engineering,3,30,70,24.0,12.2,36.2,F,26,85.1,24.0,17.4,34,On-time,18,10,33,8,15/01/2025 0:00,184,20/04/2025 0:00,Quiz,49,50,Medium Risk,Moderate Learner,4/04/2025 0:00,1/04/2025 0:00,25,30,20/04/2025 18:05,MOD-IN2201,Fail,30,Software Development Models
Madhawa Wickramasinghe,ST1362,Male,ITM,3.38,Average,Software Engineering,3,30,70,19.0,51.7,70.7,A-,25,84.1,19.0,73.8,55,On-time,17,48,42,15,6/04/2025 0:00,200,27/07/2025 0:00,Practical,64,100,Low Risk,Highly Engaged,20/05/2025 0:00,24/05/2025 0:00,18,28,27/07/2025 15:20,MOD-IN2201,Pass,30,General
Dinesh Senanayake,ST1363,Male,IT,2.7,Average,Software Engineering,3,30,70,25.5,61.0,86.5,A+,14,45.0,25.5,87.1,45,On-time,14,56,27,13,6/02/2025 0:00,445,7/04/2025 0:00,Quiz,20,20,Medium Risk,At-Risk Learner,19/02/2025 0:00,22/02/2025 0:00,16,26,7/04/2025 10:17,MOD-IN2201,Pass,30,Software Engineering Methods
Rashmi Dissanayake,ST1364,Female,IT,2.27,Good,Software Engineering,3,30,70,7.6,27.2,34.8,F,16,54.2,7.6,38.8,87,On-time,17,95,32,11,23/03/2025 0:00,94,24/05/2025 0:00,Presentation,45,50,Medium Risk,At-Risk Learner,18/05/2025 0:00,21/05/2025 0:00,13,30,24/05/2025 8:19,MOD-IN2201,Fail,30,Software Testing
Hiruni Hapuarachchi,ST1365,Female,ITM,2.06,Average,Software Engineering,3,30,70,16.6,32.6,49.2,C,25,83.8,16.6,46.6,52,Late,13,82,34,2,27/02/2025 0:00,49,9/05/2025 0:00,Midterm,9,30,Medium Risk,Moderate Learner,17/05/2025 0:00,18/05/2025 0:00,14,30,9/05/2025 13:36,MOD-IN2201,Pass,30,"UI/UX Design, Managing Software Projects"
Niroshan Jayaweera,ST1366,Male,ITM,2.29,Weak,Software Engineering,3,30,70,9.5,27.1,36.6,F,17,57.1,9.5,38.7,93,On-time,12,75,24,12,5/03/2025 0:00,424,4/06/2025 0:00,Lab,20,20,Medium Risk,Moderate Learner,4/06/2025 0:00,5/06/2025 0:00,11,26,4/06/2025 10:23,MOD-IN2201,Fail,30,UI/UX Design
Tharaka Weerasinghe,ST1367,Male,ITM,3.59,Good,Software Engineering,3,30,70,25.3,19.3,44.6,F,12,41.5,25.3,27.6,41,On-time,17,50,30,6,6/02/2025 0:00,461,9/03/2025 0:00,Final Exam,14,20,Medium Risk,At-Risk Learner,13/04/2025 0:00,14/04/2025 0:00,12,26,9/03/2025 20:24,MOD-IN2201,Fail,30,General
Ranga Opatha,ST1368,Male,ITM,1.83,Good,Software Engineering,3,30,70,16.6,26.7,43.3,F,15,49.1,16.6,38.1,61,On-time,16,90,28,5,23/03/2025 0:00,344,6/06/2025 0:00,Practical,6,20,Medium Risk,At-Risk Learner,19/05/2025 0:00,18/05/2025 0:00,14,30,6/06/2025 10:20,MOD-IN2201,Fail,30,UI/UX Design
Dulani Sivarajah,ST1369,Female,ITM,2.47,Good,Software Engineering,3,30,70,12.7,41.2,53.9,C+,21,69.7,12.7,58.9,31,Late,14,32,29,1,6/04/2025 0:00,369,14/04/2025 0:00,Assignment,27,30,Medium Risk,Passive Learner,29/04/2025 0:00,27/04/2025 0:00,11,25,14/04/2025 10:09,MOD-IN2201,Pass,30,"General, Software Engineering Methods"
Chathuni Karunathilake,ST1370,Female,IT,1.95,Average,Software Engineering,3,30,70,9.7,56.2,65.9,B+,15,51.6,9.7,80.3,52,On-time,18,63,21,12,15/04/2025 0:00,395,22/04/2025 0:00,Presentation,12,20,Medium Risk,Highly Engaged,20/05/2025 0:00,20/05/2025 0:00,19,25,22/04/2025 18:43,MOD-IN2201,Pass,30,Agile & Scrum
Malith Fernando,ST1371,Male,IT,3.87,Excellent,Software Engineering,3,30,70,24.2,37.0,61.2,B,14,45.2,24.2,52.9,79,On-time,22,95,28,0,6/02/2025 0:00,301,7/03/2025 0:00,Assignment,16,20,Low Risk,Highly Engaged,16/04/2025 0:00,16/04/2025 0:00,20,26,7/03/2025 17:31,MOD-IN2201,Pass,30,Software Maintenance & Evolution
Rashika Sivarajah,ST1372,Female,IT,2.96,Weak,Software Engineering,3,30,70,20.5,27.9,48.4,C,13,42.2,20.5,39.8,67,Late,18,59,32,6,27/02/2025 0:00,426,15/05/2025 0:00,Final Exam,31,100,Medium Risk,At-Risk Learner,23/04/2025 0:00,27/04/2025 0:00,9,25,15/05/2025 18:42,MOD-IN2201,Pass,30,UI/UX Design
Yasith Rambukwella,ST1373,Male,ITM,3.41,Weak,Software Engineering,3,30,70,17.0,46.1,63.1,B,20,65.0,17.0,65.8,55,On-time,24,96,41,9,15/01/2025 0:00,224,1/05/2025 0:00,Quiz,97,100,Low Risk,Highly Engaged,18/02/2025 0:00,18/02/2025 0:00,16,27,1/05/2025 10:55,MOD-IN2201,Pass,30,
Gayasha Hapuarachchi,ST1374,Female,ITM,3.44,Weak,Software Engineering,3,30,70,6.7,11.3,18.0,F,20,67.1,6.7,16.2,27,Late,4,88,37,0,5/03/2025 0:00,476,17/03/2025 0:00,Quiz,18,30,High Risk,At-Risk Learner,31/05/2025 0:00,30/05/2025 0:00,27,27,17/03/2025 8:23,MOD-IN2201,Fail,30,Requirements Engineering
Pradeep Kumara,ST1375,Male,ITM,3.21,Average,Software Engineering,3,30,70,27.9,51.7,79.6,A,9,29.5,27.9,73.8,29,Late,10,68,42,6,6/02/2025 0:00,101,9/05/2025 0:00,Lab,22,50,Medium Risk,At-Risk Learner,12/02/2025 0:00,10/02/2025 0:00,4,30,9/05/2025 11:29,MOD-IN2201,Pass,30,"Software Engineering Methods, Software Development Models"
Tharsini Sivarajah,ST1376,Female,ITM,2.25,Average,Software Engineering,3,30,70,27.4,46.5,73.9,A-,7,22.9,27.4,66.5,61,Late,16,62,21,0,5/03/2025 0:00,335,29/05/2025 0:00,Assignment,5,100,Medium Risk,At-Risk Learner,3/04/2025 0:00,31/03/2025 0:00,24,25,29/05/2025 12:55,MOD-IN2201,Pass,30,"Managing Software Projects, Software Maintenance & Evolution"
Rashmi Ranawaka,ST1377,Female,IT,3.52,Good,Software Engineering,3,30,70,9.9,46.7,56.6,B-,13,42.6,9.9,66.7,73,Late,21,57,36,15,6/04/2025 0:00,318,28/04/2025 0:00,Final Exam,23,50,Medium Risk,Highly Engaged,23/06/2025 0:00,26/06/2025 0:00,8,28,28/04/2025 17:25,MOD-IN2201,Pass,30,Agile & Scrum
Dulani Thilakarathne,ST1378,Female,IT,1.96,Average,Software Engineering,3,30,70,7.0,37.8,44.8,F,28,93.1,7.0,54.0,44,On-time,16,79,30,5,6/02/2025 0:00,495,16/02/2025 0:00,Lab,8,20,Medium Risk,Highly Engaged,15/05/2025 0:00,18/05/2025 0:00,22,25,16/02/2025 21:26,MOD-IN2201,Fail,30,Software Maintenance & Evolution
Rashmi Wijesuriya,ST1379,Female,ITM,3.4,Good,Software Engineering,3,30,70,21.6,31.2,52.8,C+,18,58.6,21.6,44.6,70,Late,25,57,42,12,15/04/2025 0:00,307,4/05/2025 0:00,Lab,27,30,Medium Risk,Highly Engaged,29/04/2025 0:00,3/05/2025 0:00,4,30,4/05/2025 21:44,MOD-IN2201,Pass,30,Software Maintenance & Evolution
Hirantha Sivarajah,ST1380,Male,IT,3.79,Good,Software Engineering,3,30,70,10.5,9.3,19.8,F,24,79.7,10.5,13.3,63,On-time,8,79,21,3,15/01/2025 0:00,457,30/01/2025 0:00,Midterm,14,20,Medium Risk,Moderate Learner,30/01/2025 0:00,3/02/2025 0:00,14,28,30/01/2025 14:22,MOD-IN2201,Fail,30,Software Engineering Methods
Rashika Gunasekara,ST1381,Female,ITM,2.72,Good,Software Engineering,3,30,70,14.4,23.2,37.6,F,21,68.6,14.4,33.2,86,Late,23,72,20,15,15/04/2025 0:00,203,11/07/2025 0:00,Final Exam,16,100,Medium Risk,Moderate Learner,1/05/2025 0:00,3/05/2025 0:00,19,27,11/07/2025 15:01,MOD-IN2201,Fail,30,Software Measurement
Kasun Jayasinghe,ST1382,Male,ITM,3.37,Good,Software Engineering,3,30,70,13.4,53.5,66.9,B+,17,55.9,13.4,76.5,83,On-time,9,87,23,1,15/01/2025 0:00,205,20/03/2025 0:00,Final Exam,40,100,Medium Risk,Moderate Learner,22/01/2025 0:00,19/01/2025 0:00,26,30,20/03/2025 15:04,MOD-IN2201,Pass,30,Software Engineering Methods
Pranali Fonseka,ST1383,Female,ITM,3.37,Average,Software Engineering,3,30,70,12.9,27.6,40.5,F,18,60.8,12.9,39.5,40,Late,16,47,9,5,5/03/2025 0:00,60,12/06/2025 0:00,Presentation,29,30,Medium Risk,Moderate Learner,1/04/2025 0:00,4/04/2025 0:00,16,25,12/06/2025 19:51,MOD-IN2201,Fail,30,"Managing Software Projects, Software Maintenance & Evolution"
Oshadi Fernando,ST1384,Female,IT,2.52,Good,Software Engineering,3,30,70,9.1,65.2,74.3,A-,11,38.1,9.1,93.2,29,On-time,24,24,23,5,5/03/2025 0:00,111,25/05/2025 0:00,Final Exam,13,20,Medium Risk,Passive Learner,15/03/2025 0:00,17/03/2025 0:00,17,30,25/05/2025 16:06,MOD-IN2201,Pass,30,"Software Maintenance & Evolution, Software Testing"
Tharsini Ganesan,ST1385,Female,IT,1.96,Weak,Software Engineering,3,30,70,19.6,47.0,66.6,B+,17,57.5,19.6,67.2,83,Late,6,25,21,5,27/02/2025 0:00,84,7/03/2025 0:00,Assignment,19,100,Medium Risk,Passive Learner,2/05/2025 0:00,6/05/2025 0:00,21,25,7/03/2025 20:42,MOD-IN2201,Pass,30,"Software Engineering Methods, Software Development Models"
Kavinda Sivarajah,ST1386,Male,ITM,2.43,Good,Software Engineering,3,30,70,18.6,26.0,44.6,F,15,49.4,18.6,37.2,43,On-time,5,77,29,8,5/03/2025 0:00,339,28/05/2025 0:00,Final Exam,10,20,Medium Risk,At-Risk Learner,4/06/2025 0:00,4/06/2025 0:00,16,30,28/05/2025 15:30,MOD-IN2201,Fail,30,Managing Software Projects
Dinesh Gamlath,ST1387,Male,IT,3.67,Average,Software Engineering,3,30,70,20.9,62.9,83.8,A,17,57.7,20.9,89.8,59,On-time,20,31,31,13,5/03/2025 0:00,469,8/03/2025 0:00,Midterm,30,50,Low Risk,Moderate Learner,13/03/2025 0:00,16/03/2025 0:00,18,30,8/03/2025 11:42,MOD-IN2201,Pass,30,Software Testing
Chamal Nanayakkara,ST1388,Male,ITM,3.13,Weak,Software Engineering,3,30,70,24.4,33.5,57.9,B-,21,71.0,24.4,47.9,29,On-time,9,86,42,9,15/04/2025 0:00,294,20/05/2025 0:00,Final Exam,24,50,Medium Risk,Moderate Learner,5/05/2025 0:00,7/05/2025 0:00,30,30,20/05/2025 14:17,MOD-IN2201,Pass,30,
Yasodha Nanayakkara,ST1389,Female,IT,2.9,Average,Software Engineering,3,30,70,18.7,44.2,62.9,B,22,74.4,18.7,63.2,34,On-time,17,53,37,15,23/03/2025 0:00,215,3/05/2025 0:00,Presentation,24,50,Medium Risk,Moderate Learner,25/05/2025 0:00,27/05/2025 0:00,10,27,3/05/2025 22:15,MOD-IN2201,Pass,30,Software Maintenance & Evolution
Vishaka Wickramasinghe,ST1390,Female,IT,3.09,Good,Software Engineering,3,30,70,18.9,27.1,46.0,C,21,68.4,18.9,38.7,85,On-time,24,47,23,11,15/01/2025 0:00,404,10/02/2025 0:00,Presentation,16,50,Medium Risk,Moderate Learner,10/04/2025 0:00,10/04/2025 0:00,24,28,10/02/2025 17:50,MOD-IN2201,Pass,30,Software Engineering Methods
Tharushi Rathnayake,ST1391,Female,ITM,2.84,Average,Software Engineering,3,30,70,29.0,55.6,84.6,A,19,62.5,29.0,79.5,76,On-time,10,87,20,8,15/04/2025 0:00,103,24/06/2025 0:00,Quiz,30,100,Low Risk,Passive Learner,22/05/2025 0:00,26/05/2025 0:00,12,25,24/06/2025 17:52,MOD-IN2201,Pass,30,"Software Development Models, Agile & Scrum"
Methuli Hapuarachchi,ST1392,Female,IT,2.01,Good,Software Engineering,3,30,70,8.6,39.5,48.1,C,9,31.0,8.6,56.4,42,Late,13,16,32,2,15/01/2025 0:00,182,4/04/2025 0:00,Quiz,12,30,High Risk,At-Risk Learner,21/01/2025 0:00,23/01/2025 0:00,11,30,4/04/2025 19:17,MOD-IN2201,Pass,30,"Software Development Models, Agile & Scrum"
Rashmi Weerasinghe,ST1393,Female,ITM,3.63,Average,Software Engineering,3,30,70,8.2,51.4,59.6,B-,14,45.0,8.2,73.5,60,Late,7,59,16,0,6/02/2025 0:00,122,8/03/2025 0:00,Assignment,12,30,Medium Risk,Passive Learner,17/05/2025 0:00,17/05/2025 0:00,12,25,8/03/2025 15:39,MOD-IN2201,Pass,30,"Software Development Models, Agile & Scrum"
Nimal Gunasekara,ST1394,Male,IT,2.73,Weak,Software Engineering,3,30,70,9.6,60.0,69.6,B+,17,55.2,9.6,85.7,74,On-time,5,20,42,14,27/02/2025 0:00,266,8/06/2025 0:00,Quiz,20,20,Medium Risk,Passive Learner,29/03/2025 0:00,1/04/2025 0:00,20,30,8/06/2025 22:33,MOD-IN2201,Pass,30,Agile & Scrum
Jayani Hapuarachchi,ST1395,Female,ITM,2.22,Average,Software Engineering,3,30,70,14.4,24.4,38.8,F,26,86.1,14.4,34.8,63,Late,7,61,39,6,15/01/2025 0:00,200,7/04/2025 0:00,Final Exam,17,20,Medium Risk,Passive Learner,5/04/2025 0:00,5/04/2025 0:00,22,27,7/04/2025 19:04,MOD-IN2201,Fail,30,Agile & Scrum
Erandi Opatha,ST1396,Female,IT,2.86,Good,Software Engineering,3,30,70,17.4,18.2,35.6,F,8,27.1,17.4,26.0,92,On-time,13,39,24,11,15/01/2025 0:00,173,22/04/2025 0:00,Midterm,7,30,Medium Risk,Passive Learner,6/03/2025 0:00,3/03/2025 0:00,23,30,22/04/2025 11:05,MOD-IN2201,Fail,30,Software Measurement
Osada Panchacharam,ST1397,Male,ITM,2.93,Average,Software Engineering,3,30,70,10.0,12.2,22.2,F,9,31.2,10.0,17.5,37,Late,10,33,13,13,5/03/2025 0:00,199,7/03/2025 0:00,Presentation,7,20,High Risk,At-Risk Learner,23/04/2025 0:00,23/04/2025 0:00,25,25,7/03/2025 20:12,MOD-IN2201,Fail,30,"General, Software Engineering Methods"
Oshadi Vithanage,ST1398,Female,ITM,2.04,Good,Software Engineering,3,30,70,26.4,52.9,79.3,A,23,77.1,26.4,75.6,91,Late,19,33,40,0,23/03/2025 0:00,206,13/04/2025 0:00,Assignment,12,30,Medium Risk,Passive Learner,1/04/2025 0:00,31/03/2025 0:00,23,27,13/04/2025 8:30,MOD-IN2201,Pass,30,General
Kalani Jayasinghe,ST1399,Female,IT,2.78,Good,Software Engineering,3,30,70,17.0,54.8,71.8,A-,10,32.8,17.0,78.3,76,On-time,4,58,27,0,5/03/2025 0:00,187,19/04/2025 0:00,Presentation,37,100,Medium Risk,Passive Learner,9/05/2025 0:00,14/05/2025 0:00,20,28,19/04/2025 20:38,MOD-IN2201,Pass,30,"UI/UX Design, Managing Software Projects"
Ishan Ranawaka,ST1400,Male,IT,2.05,Average,Software Engineering,3,30,70,13.1,9.8,22.9,F,30,98.6,13.1,14.0,88,On-time,5,87,39,12,5/03/2025 0:00,232,23/06/2025 0:00,Midterm,25,30,Medium Risk,Moderate Learner,4/06/2025 0:00,8/06/2025 0:00,27,27,23/06/2025 17:50,MOD-IN2201,Fail,30,Managing Software Projects
Tharushi Sivarajah,ST1401,Female,IT,1.81,Average,Software Engineering,3,30,70,9.1,64.1,73.2,A-,18,58.5,9.1,91.6,57,Late,24,69,14,6,27/02/2025 0:00,277,17/04/2025 0:00,Lab,14,20,Medium Risk,Highly Engaged,7/03/2025 0:00,11/03/2025 0:00,15,30,17/04/2025 22:41,MOD-IN2201,Pass,30,Agile & Scrum
Nimasha Nanayakkara,ST1402,Female,ITM,1.92,Average,Software Engineering,3,30,70,6.6,21.1,27.7,F,18,60.0,6.6,30.2,92,On-time,5,28,23,8,15/04/2025 0:00,70,3/07/2025 0:00,Final Exam,19,20,High Risk,At-Risk Learner,26/06/2025 0:00,28/06/2025 0:00,28,28,3/07/2025 13:18,MOD-IN2201,Fail,30,"Agile & Scrum, Requirements Engineering"
Nathasha Siriwardana,ST1403,Female,ITM,3.24,Good,Software Engineering,3,30,70,23.2,23.9,47.1,C,18,60.0,23.2,34.2,44,Late,14,52,28,14,23/03/2025 0:00,414,20/04/2025 0:00,Quiz,11,30,Medium Risk,Highly Engaged,12/05/2025 0:00,15/05/2025 0:00,17,30,20/04/2025 8:02,MOD-IN2201,Pass,30,Software Measurement
Bandara Sivarajah,ST1404,Male,IT,2.71,Good,Software Engineering,3,30,70,7.6,35.6,43.2,F,11,36.6,7.6,50.9,47,Late,7,14,28,15,15/04/2025 0:00,442,1/08/2025 0:00,Presentation,45,50,High Risk,At-Risk Learner,30/05/2025 0:00,1/06/2025 0:00,25,27,1/08/2025 15:16,MOD-IN2201,Fail,30,Managing Software Projects
Tilan Gunawardena,ST1405,Male,ITM,2.92,Average,Software Engineering,3,30,70,28.4,25.8,54.2,C+,27,90.8,28.4,36.9,77,On-time,2,65,24,8,27/02/2025 0:00,208,12/06/2025 0:00,Quiz,12,30,Medium Risk,Passive Learner,30/05/2025 0:00,28/05/2025 0:00,18,26,12/06/2025 10:35,MOD-IN2201,Pass,30,"Software Measurement, General"
Vimukthi Vithanage,ST1406,Male,ITM,2.89,Average,Software Engineering,3,30,70,7.6,26.7,34.3,F,19,64.8,7.6,38.1,33,On-time,4,41,34,15,15/01/2025 0:00,379,23/02/2025 0:00,Lab,55,100,High Risk,At-Risk Learner,27/02/2025 0:00,25/02/2025 0:00,22,26,23/02/2025 11:31,MOD-IN2201,Fail,30,Software Measurement
Imasha Jayasinghe,ST1407,Female,IT,2.4,Good,Software Engineering,3,30,70,8.0,54.7,62.7,B,10,32.6,8.0,78.1,27,On-time,20,58,18,2,15/01/2025 0:00,91,19/01/2025 0:00,Practical,48,50,Medium Risk,At-Risk Learner,24/01/2025 0:00,23/01/2025 0:00,25,27,19/01/2025 10:18,MOD-IN2201,Pass,30,Agile & Scrum
Rajeev Wijesuriya,ST1408,Male,ITM,3.74,Average,Software Engineering,3,30,70,10.0,31.1,41.1,F,20,66.0,10.0,44.4,88,On-time,21,10,27,6,15/01/2025 0:00,444,1/02/2025 0:00,Presentation,15,50,Medium Risk,Moderate Learner,26/04/2025 0:00,27/04/2025 0:00,24,30,1/02/2025 9:29,MOD-IN2201,Fail,30,General
Hirantha Hapuarachchi,ST1409,Male,IT,2.26,Average,Software Engineering,3,30,70,28.7,26.2,54.9,C+,14,46.8,28.7,37.4,77,On-time,24,70,29,14,15/04/2025 0:00,223,11/05/2025 0:00,Assignment,6,30,Medium Risk,Highly Engaged,23/07/2025 0:00,25/07/2025 0:00,6,25,11/05/2025 11:29,MOD-IN2201,Pass,30,Software Maintenance & Evolution
Dinesh Rambukwella,ST1410,Male,IT,3.98,Average,Software Engineering,3,30,70,17.5,32.2,49.7,C,13,42.3,17.5,46.0,64,Late,24,50,33,7,6/04/2025 0:00,407,26/05/2025 0:00,Assignment,13,20,Medium Risk,Highly Engaged,14/04/2025 0:00,13/04/2025 0:00,16,26,26/05/2025 11:22,MOD-IN2201,Pass,30,Software Engineering Methods
Kalani Rathnayake,ST1411,Female,ITM,3.5,Weak,Software Engineering,3,30,70,26.7,17.9,44.6,F,25,84.4,26.7,25.6,58,On-time,23,50,34,5,15/01/2025 0:00,43,2/04/2025 0:00,Practical,18,30,Medium Risk,Moderate Learner,5/02/2025 0:00,10/02/2025 0:00,5,25,2/04/2025 15:17,MOD-IN2201,Fail,30,Software Development Models
Binara Jayaweera,ST1412,Female,IT,2.59,Average,Software Engineering,3,30,70,15.3,39.1,54.4,C+,26,85.1,15.3,55.9,51,On-time,8,28,18,8,6/04/2025 0:00,311,13/06/2025 0:00,Assignment,6,50,Medium Risk,Passive Learner,18/06/2025 0:00,19/06/2025 0:00,17,30,13/06/2025 20:29,MOD-IN2201,Pass,30,"Software Engineering Methods, Software Development Models"
Gihan Kumara,ST1413,Male,ITM,3.82,Weak,Software Engineering,3,30,70,27.2,57.9,85.1,A+,11,38.2,27.2,82.7,55,Late,20,38,14,8,27/02/2025 0:00,193,5/05/2025 0:00,Quiz,35,100,Low Risk,At-Risk Learner,18/04/2025 0:00,15/04/2025 0:00,16,25,5/05/2025 11:02,MOD-IN2201,Pass,30,"Software Maintenance & Evolution, Software Testing"
Piyumi Ganesan,ST1414,Female,IT,3.54,Average,Software Engineering,3,30,70,20.3,11.3,31.6,F,19,63.2,20.3,16.2,53,On-time,2,74,39,9,5/03/2025 0:00,433,13/05/2025 0:00,Assignment,15,100,Medium Risk,Moderate Learner,8/05/2025 0:00,7/05/2025 0:00,14,26,13/05/2025 18:12,MOD-IN2201,Fail,30,Software Development Models
Chamari Rambukwella,ST1415,Female,IT,2.06,Good,Software Engineering,3,30,70,9.9,14.1,24.0,F,22,71.9,9.9,20.1,62,On-time,15,30,31,6,15/04/2025 0:00,413,23/04/2025 0:00,Midterm,16,50,High Risk,At-Risk Learner,28/04/2025 0:00,28/04/2025 0:00,7,28,23/04/2025 20:49,MOD-IN2201,Fail,30,Agile & Scrum
Hiruni Subasinghe,ST1416,Female,ITM,3.46,Weak,Software Engineering,3,30,70,10.2,55.2,65.4,B+,9,29.6,10.2,78.9,95,Late,4,55,21,2,15/01/2025 0:00,220,4/02/2025 0:00,Assignment,20,30,Medium Risk,Passive Learner,25/03/2025 0:00,23/03/2025 0:00,27,27,4/02/2025 10:21,MOD-IN2201,Pass,30,"Software Measurement, General"
Udara Senanayake,ST1417,Male,IT,3.52,Good,Software Engineering,3,30,70,20.0,48.9,68.9,B+,24,81.3,20.0,69.9,55,Late,8,31,42,15,5/03/2025 0:00,436,15/04/2025 0:00,Quiz,6,20,Medium Risk,Moderate Learner,9/05/2025 0:00,12/05/2025 0:00,18,26,15/04/2025 18:23,MOD-IN2201,Pass,30,Requirements Engineering
Madhawa Weerasinghe,ST1418,Male,IT,1.81,Good,Software Engineering,3,30,70,8.3,38.6,46.9,C,14,46.8,8.3,55.2,40,On-time,12,69,29,4,6/04/2025 0:00,471,24/06/2025 0:00,Midterm,20,50,High Risk,At-Risk Learner,7/07/2025 0:00,5/07/2025 0:00,13,30,24/06/2025 20:02,MOD-IN2201,Pass,30,UI/UX Design
Waruni Siriwardana,ST1419,Female,ITM,3.67,Average,Software Engineering,3,30,70,12.7,57.7,70.4,A-,29,96.2,12.7,82.5,35,Late,24,43,39,12,27/02/2025 0:00,118,1/03/2025 0:00,Quiz,9,20,Low Risk,Highly Engaged,23/05/2025 0:00,26/05/2025 0:00,20,30,1/03/2025 8:18,MOD-IN2201,Pass,30,Software Measurement
Wimal Jeyarajah,ST1420,Male,IT,1.98,Average,Software Engineering,3,30,70,7.2,26.5,33.7,F,27,90.2,7.2,37.9,95,Late,20,37,29,2,6/04/2025 0:00,158,14/05/2025 0:00,Presentation,17,20,Medium Risk,Moderate Learner,11/06/2025 0:00,16/06/2025 0:00,25,25,14/05/2025 22:35,MOD-IN2201,Fail,30,Software Maintenance & Evolution
